id,Title,Founded,Founded-longdate,General email address,General phone,Location Name,Address 1,Address 2,City,City_sub,State,State_sub,Country,zip-postal,Latitude,Longitude,Occupation description,General Assembly,Donate Information,Occupation website,occupation_websites_extra1,occupation_websites_extra2,occupation_websites_extra3,occupation_websites_extra-other,Twitter_hashtag1,Twitter_hashtag2,Twitter_hashtag3,Twitter_hashtag-other,Twitter_account1,Twitter_account2,Twitter_account3,Twitter_account-other,Facebook1,Facebook2,Facebook-other,Newspaper URL,RSS1,RSS2,RSS-other,Meetup URL,Youtube1,Youtube2,Youtube-other,live_video1,live_video2,live_video-other,social_media_extra1,social_media_extra2,social_media_extra3,social_media_extra-other,Physical occupation occurring,Point of contact email addresses,Occupy Directory URL,Occupation_image-orig,Occupation_image-thumb
000d62c2-0a93-66f4-6588-3f99b3119804,Occupy Oakland University,,,,,Oakland University,,,Rochester,,MI,,United States,,42.6833,-83.137,,,,,,,,,,,,,@OccupyOaklandU,,,@OccupyOaklandU,http://facebook.com/pages/Occupy-Oakland-University/247852565265704,,,,,,,,,,,,,,,,,,,,http://directory.occupy.net/occupation/us/mi/occupy-oakland-university,w,
001abd71-05dc-d324-ed9e-872cd6dbb2ab,Occupy Hamilton NY,,,,,,,,Hamilton,,NY,,United States,,42.827,-75.5446,,,,,,,,,,,,,,,,,,,,,,,,http://www.meetup.com/occupytogether/Hamilton-NY/,,,,,,,,,,,,,http://directory.occupy.net/occupation/us/ny/occupy-hamilton-ny,http://live.fga-directory.gotpantheon.com/sites/default/files/default_images/hemisphere-sketch-smsq.png,http://directory.occupy.net/sites/default/files/styles/occupation_thumb_med/public/images/occupations/icons/hemisphere-sketch-smsq.png
003658e2-769a-a894-e968-dd6a40109dd8,Occupy Canberra,,,,,City Hill,,,Canberra,,ACT,,Australia,,-35.3065,149.127,,,,http://occupycanberra.wordpress.com/,,,,,,,,,,,,,http://www.facebook.com/OccupyCanberra,,,,,,,,,,,,,,,,,,,,http://directory.occupy.net/occupation/au/act/occupy-canberra,http://live.fga-directory.gotpantheon.com/sites/default/files/images/occupations/icons/dscf2169.jpg,http://directory.occupy.net/sites/default/files/styles/occupation_thumb_med/public/images/occupations/icons/dscf2169.jpg
00430e8d-9a5a-4304-2d78-4e0b6ccb7aa1,Occupy Encino,,,,,,,,Encino,,CA,,United States,,34.165,-118.526,,,,,,,,,,,,,,,,,,,,,,,,http://www.meetup.com/occupytogether/Encino-CA/,,,,,,,,,,,,,http://directory.occupy.net/occupation/us/ca/occupy-encino,,
00441b45-1237-2b34-6130-332150e90c8e,Occupy Ellensburg,,,,,,,,Ellensburg,,WA,,United States,,46.997,-120.549,,,,,,,,,,,,,,,,,https://www.facebook.com/groups/occupyellensburg/,,,,,,,http://meetup.com/occupytogether/Ellensburg-WA/,,,,,,,,,,,,,http://directory.occupy.net/occupation/us/wa/occupy-ellensburg,,
0070b255-cecd-86e4-957e-c98cf1eb0ce9,Occupy Ljubljana,10/14/11,14-Oct-11,OccupyLjubljana@hotmail.com,,Kongresni trg,Slovenska cesta 56,,Ljubljana,,,,Slovenia,,46.0564,14.5055,,,,,http://tumblr.com/tagged/occupy+ljubljana,,,,,,,,@OccupyLjubljana,,,@OccupyLjubljana,http://facebook.com/prisotnost.steje,http://facebook.com/pages/OCCUPY-SLOVENIA-LJUBLJANA/227998837257557,https://www.facebook.com/occupyljubljana,,,,,,,,,http://livestream.com/prisotnoststeje,,,,,,,,blac.wolff@hotmail.com,http://directory.occupy.net/occupation/si/occupy-ljubljana,,
008382d9-7ca9-1b74-8184-c20eb7cf1748,Occupy Marfa,,,,,,,,Marfa,,TX,,United States,,30.3125,-104.022,,,,,,,,,,,,,,,,,http://facebook.com/occupymarfa,,,,,,,,,,,,,,,,,,,,http://directory.occupy.net/occupation/us/tx/occupy-marfa,,
00f00c2a-fe90-0634-15e1-850beb2ebf8b,Occupy Seddonville,,,occupyseddonville@westportal.co.nz,,,,,Seddonville,,,,New Zealand,,-41.5512,171.989,,,,http://occupyseddonville.westportal.co.nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://directory.occupy.net/occupation/nz/occupy-seddonville,,
012c694f-602f-3b94-ed55-80667db30afd,Occupy Santiago,10/15/11,15-Oct-11,,,,,,Santiago,,,,Chile,,-33.4373,-70.6506,,,,,,,,,,,,,,,,,,,,,,,,http://meetup.com/occupytogether/Santiago-CL/,http://youtube.com/watch?v=SN7-tj9IX_8,,,,,,,,,,,,http://directory.occupy.net/occupation/cl/occupy-santiago,http://live.fga-directory.gotpantheon.com/sites/default/files/images/occupations/icons/00-01w-occupy-wall-street-19-10-11-santiago-chile.jpg,http://directory.occupy.net/sites/default/files/styles/occupation_thumb_med/public/images/occupations/icons/00-01w-occupy-wall-street-19-10-11-santiago-chile.jpg
013babcf-2783-1ae4-ed04-bc4966ff4ea4,Occupy San Diego,10/7/11,7-Oct-11,info@occupysd.org,,Gaslamp quarter,Civic Center,,San Diego,,CA,,United States,,33.2026,-117.235,,,https://www.wepay.com/donate/occupysandiego,http://www.sandiegooccupy.org,http://occupysandiego.org,,,,#OccupySD,Â #OSD,,,@OccupySD,@OccupySanDiego2,,"@OccupySD, @OccupySanDiego2",http://facebook.com/OccupySanDiego,FB group,,,,,,,,,,http://livestream.com/occupysd,http://livestream.com/occupysandiegolivefeed,,,,,,,,http://directory.occupy.net/occupation/us/ca/occupy-san-diego,http://live.fga-directory.gotpantheon.com/sites/default/files/default_images/hemisphere-sketch-smsq.png,http://directory.occupy.net/sites/default/files/styles/occupation_thumb_med/public/images/occupations/icons/hemisphere-sketch-smsq.png
